,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
1,2,64,-1,bridge-e1000,0,21,update,360.7830292878904,523.0,651.0,82389.0,,
2,2,64,-1,bridge-e1000,0,21,overall,,,,,61018.0,2711.511357304402
0,2,64,-1,bridge-e1000,0,22,read,362.83180505415163,521.0,640.0,83100.0,,
1,2,64,-1,bridge-e1000,0,22,update,359.0831263871393,513.0,639.0,83355.0,,
2,2,64,-1,bridge-e1000,0,22,overall,,,,,61015.0,2728.0996476276327
0,2,64,-1,bridge-e1000,0,23,read,362.8079055862285,529.0,651.0,82954.0,,
1,2,64,-1,bridge-e1000,0,23,update,360.2108045756032,524.0,659.0,83224.0,,
2,2,64,-1,bridge-e1000,0,23,overall,,,,,61022.0,2723.247353413523
0,2,64,-1,bridge-e1000,0,24,read,346.6929938502213,509.0,630.0,86995.0,,
1,2,64,-1,bridge-e1000,0,24,update,341.53688332743445,503.0,618.0,87587.0,,
2,2,64,-1,bridge-e1000,0,24,overall,,,,,61024.0,2860.8744100681697
0,2,64,-1,bridge-e1000,0,25,read,360.2834353927899,519.0,653.0,83938.0,,
1,2,64,-1,bridge-e1000,0,25,update,357.4934832271252,517.0,658.0,83170.0,,
2,2,64,-1,bridge-e1000,0,25,overall,,,,,61017.0,2738.7121621843094
0,2,64,-1,bridge-e1000,0,26,read,356.4266556095249,519.0,640.0,84410.0,,
1,2,64,-1,bridge-e1000,0,26,update,353.26851011143214,511.0,635.0,84805.0,,
2,2,64,-1,bridge-e1000,0,26,overall,,,,,61018.0,2773.198072699859
0,2,64,-1,bridge-e1000,0,27,read,353.33130809393367,510.0,632.0,85422.0,,
1,2,64,-1,bridge-e1000,0,27,update,350.07757821756627,504.0,632.0,85243.0,,
2,2,64,-1,bridge-e1000,0,27,overall,,,,,61014.0,2797.144917559904
0,2,64,-1,bridge-e1000,0,28,read,353.38816801006385,512.0,633.0,85852.0,,
1,2,64,-1,bridge-e1000,0,28,update,348.29603294730543,507.0,631.0,85227.0,,
2,2,64,-1,bridge-e1000,0,28,overall,,,,,61023.0,2803.516706815463
0,2,64,-1,bridge-e1000,0,29,read,348.6152466986174,510.0,625.0,87009.0,,
1,2,64,-1,bridge-e1000,0,29,update,343.56361681962136,498.0,612.0,86518.0,,
2,2,64,-1,bridge-e1000,0,29,overall,,,,,61017.0,2843.912352295262
0,2,64,-1,bridge-e1000,0,30,read,358.9450962101915,521.0,648.0,83619.0,,
1,2,64,-1,bridge-e1000,0,30,update,355.49161362208554,516.0,651.0,84363.0,,
2,2,64,-1,bridge-e1000,0,30,overall,,,,,61016.0,2753.081159040252
0,2,64,-1,bridge-e1000,0,31,read,362.5710683857708,530.0,655.0,83687.0,,
1,2,64,-1,bridge-e1000,0,31,update,356.60090893788924,524.0,650.0,83174.0,,
2,2,64,-1,bridge-e1000,0,31,overall,,,,,61012.0,2734.888218711073
0,2,64,-1,bridge-e1000,0,32,read,352.7170785990395,511.0,624.0,85370.0,,
1,2,64,-1,bridge-e1000,0,32,update,349.2633353949564,503.0,629.0,85693.0,,
2,2,64,-1,bridge-e1000,0,32,overall,,,,,61020.0,2803.392330383481
0,2,64,-1,bridge-e1000,0,33,read,369.5743163191773,539.0,685.0,81873.0,,
1,2,64,-1,bridge-e1000,0,33,update,365.9099910212415,536.0,693.0,81303.0,,
2,2,64,-1,bridge-e1000,0,33,overall,,,,,61013.0,2674.4464294494614
0,2,64,-1,bridge-e1000,0,34,read,348.84856369571025,508.0,617.0,86089.0,,
1,2,64,-1,bridge-e1000,0,34,update,346.3582260338889,501.0,622.0,86518.0,,
2,2,64,-1,bridge-e1000,0,34,overall,,,,,61014.0,2828.9736781722227
0,2,64,-1,bridge-e1000,0,35,read,357.3231639355925,526.0,635.0,84338.0,,
1,2,64,-1,bridge-e1000,0,35,update,353.7614313410252,520.0,638.0,84592.0,,
2,2,64,-1,bridge-e1000,0,35,overall,,,,,61017.0,2768.5726928560894
0,2,64,-1,bridge-e1000,0,36,read,349.7642987967449,507.0,620.0,86266.0,,
