   repetitions  num_vms     interface     fastclick   rate  repetition  vm_num  rxPackets   txPackets     txMpps  rxMppsCalc
0            3       16  bridge-e1000  software-tap  40000           2       1    1188590  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2       2    1188591  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2       3    1188590  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2       4    1188590  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2       5    1188590  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2       6    1188590  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2       7    1188590  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2       8    1188590  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2       9    1188587  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2      10    1188586  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2      11    1188586  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2      12    1188586  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2      13    1188586  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2      14    1188586  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2      15    1188586  2239482458  36.867619    0.019567
0            3       16  bridge-e1000  software-tap  40000           2      16    1188587  2239482458  36.867619    0.019567
