   repetitions  num_vms  interface     fastclick   rate  repetition  vm_num  rxPackets   txPackets     txMpps  rxMppsCalc
0            3       16  vmux-dpdk  software-tap  40000           0       1    1611715  2053521164  33.711428    0.026459
0            3       16  vmux-dpdk  software-tap  40000           0       2    1652120  2053521164  33.711428    0.027122
0            3       16  vmux-dpdk  software-tap  40000           0       3    1809592  2053521164  33.711428    0.029707
0            3       16  vmux-dpdk  software-tap  40000           0       4    1613715  2053521164  33.711428    0.026491
0            3       16  vmux-dpdk  software-tap  40000           0       5    1597997  2053521164  33.711428    0.026233
0            3       16  vmux-dpdk  software-tap  40000           0       6    2965001  2053521164  33.711428    0.048675
0            3       16  vmux-dpdk  software-tap  40000           0       7    2840056  2053521164  33.711428    0.046623
0            3       16  vmux-dpdk  software-tap  40000           0       8    2928371  2053521164  33.711428    0.048073
0            3       16  vmux-dpdk  software-tap  40000           0       9    2941656  2053521164  33.711428    0.048291
0            3       16  vmux-dpdk  software-tap  40000           0      10    2876211  2053521164  33.711428    0.047217
0            3       16  vmux-dpdk  software-tap  40000           0      11    3004754  2053521164  33.711428    0.049327
0            3       16  vmux-dpdk  software-tap  40000           0      12    1564691  2053521164  33.711428    0.025687
0            3       16  vmux-dpdk  software-tap  40000           0      13    1673432  2053521164  33.711428    0.027472
0            3       16  vmux-dpdk  software-tap  40000           0      14    1680792  2053521164  33.711428    0.027593
0            3       16  vmux-dpdk  software-tap  40000           0      15    1646453  2053521164  33.711428    0.027029
0            3       16  vmux-dpdk  software-tap  40000           0      16    1601552  2053521164  33.711428    0.026292
