,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
2,2,64,-1,vmux-vdpdk,1,20,overall,,,,,61025.0,5976.042605489553
0,2,64,-1,vmux-vdpdk,1,21,read,172.9679874003392,313.0,480.0,173338.0,,
1,2,64,-1,vmux-vdpdk,1,21,update,172.59728952630093,314.0,486.0,173549.0,,
2,2,64,-1,vmux-vdpdk,1,21,overall,,,,,61016.0,5685.180936147895
0,2,64,-1,vmux-vdpdk,1,22,read,175.54320722145044,314.0,444.0,172043.0,,
1,2,64,-1,vmux-vdpdk,1,22,update,173.2648006467411,314.0,447.0,170702.0,,
2,2,64,-1,vmux-vdpdk,1,22,overall,,,,,61056.0,5613.617007337526
0,2,64,-1,vmux-vdpdk,1,23,read,159.55929996492384,300.0,441.0,188162.0,,
1,2,64,-1,vmux-vdpdk,1,23,update,158.95108105807495,300.0,442.0,187964.0,,
2,2,64,-1,vmux-vdpdk,1,23,overall,,,,,61026.0,6163.372988562252
0,2,64,-1,vmux-vdpdk,1,24,read,165.173547526967,305.0,440.0,181518.0,,
1,2,64,-1,vmux-vdpdk,1,24,update,164.29150821041526,305.0,451.0,181964.0,,
2,2,64,-1,vmux-vdpdk,1,24,overall,,,,,61024.0,5956.377818563188
0,2,64,-1,vmux-vdpdk,1,25,read,178.94452649895655,345.0,521.0,167233.0,,
1,2,64,-1,vmux-vdpdk,1,25,update,177.93769607901612,350.0,537.0,167662.0,,
2,2,64,-1,vmux-vdpdk,1,25,overall,,,,,61018.0,5488.462420924973
0,2,64,-1,vmux-vdpdk,1,26,read,187.51849689803572,328.0,460.0,161027.0,,
1,2,64,-1,vmux-vdpdk,1,26,update,184.5183667870126,327.0,459.0,160371.0,,
2,2,64,-1,vmux-vdpdk,1,26,overall,,,,,61022.0,5266.920127167251
0,2,64,-1,vmux-vdpdk,1,27,read,165.99351310662416,299.0,410.0,180672.0,,
1,2,64,-1,vmux-vdpdk,1,27,update,164.49685880882507,300.0,411.0,181619.0,,
