,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
2,2,32,-1,vmux-emu,1,21,overall,,,,,61017.0,1773.8990773063244
0,2,32,-1,vmux-emu,1,22,read,554.1960359244348,748.0,905.0,54893.0,,
1,2,32,-1,vmux-emu,1,22,update,552.2034940808122,749.0,905.0,53977.0,,
2,2,32,-1,vmux-emu,1,22,overall,,,,,61015.0,1784.3153322953372
0,2,32,-1,vmux-emu,1,23,read,558.0919842312746,758.0,918.0,54031.0,,
1,2,32,-1,vmux-emu,1,23,update,556.2349941805686,756.0,912.0,54129.0,,
2,2,32,-1,vmux-emu,1,23,overall,,,,,61018.0,1772.5916942541546
0,2,32,-1,vmux-emu,1,24,read,577.363817669281,791.0,1011.0,52147.0,,
1,2,32,-1,vmux-emu,1,24,update,578.6062175168431,792.0,1029.0,51950.0,,
2,2,32,-1,vmux-emu,1,24,overall,,,,,61019.0,1705.976826889985
0,2,32,-1,vmux-emu,1,25,read,542.1772993708212,743.0,902.0,55787.0,,
1,2,32,-1,vmux-emu,1,25,update,541.4196080554352,739.0,898.0,55416.0,,
2,2,32,-1,vmux-emu,1,25,overall,,,,,61027.0,1822.193455355826
0,2,32,-1,vmux-emu,1,26,read,551.4144346195562,755.0,914.0,54397.0,,
1,2,32,-1,vmux-emu,1,26,update,552.2405547322393,756.0,912.0,54657.0,,
2,2,32,-1,vmux-emu,1,26,overall,,,,,61016.0,1787.3016913596434
0,2,32,-1,vmux-emu,1,27,read,568.1290549000265,784.0,1018.0,52714.0,,
1,2,32,-1,vmux-emu,1,27,update,568.0351359493861,784.0,1016.0,53108.0,,
2,2,32,-1,vmux-emu,1,27,overall,,,,,61021.0,1734.1898690614707
0,2,32,-1,vmux-emu,1,28,read,541.7142908710248,742.0,900.0,55406.0,,
1,2,32,-1,vmux-emu,1,28,update,541.038554432418,741.0,899.0,55895.0,,
2,2,32,-1,vmux-emu,1,28,overall,,,,,61023.0,1823.9188502695704
0,2,32,-1,vmux-emu,1,29,read,544.1106933019977,743.0,899.0,55315.0,,
1,2,32,-1,vmux-emu,1,29,update,545.9952282458814,748.0,906.0,55116.0,,
2,2,32,-1,vmux-emu,1,29,overall,,,,,61024.0,1809.6322758259046
0,2,32,-1,vmux-emu,1,30,read,568.8822884160757,786.0,986.0,52875.0,,
1,2,32,-1,vmux-emu,1,30,update,568.3620426110094,782.0,1006.0,52991.0,,
2,2,32,-1,vmux-emu,1,30,overall,,,,,61034.0,1734.5414031523412
0,2,32,-1,vmux-emu,1,31,read,546.2846327581534,746.0,904.0,55345.0,,
1,2,32,-1,vmux-emu,1,31,update,545.1106123932401,746.0,897.0,55030.0,,
2,2,32,-1,vmux-emu,1,31,overall,,,,,61019.0,1808.862813222111
0,2,32,-1,vmux-emu,1,32,read,544.1630517160489,744.0,895.0,55418.0,,
1,2,32,-1,vmux-emu,1,32,update,541.1886327675489,740.0,900.0,55616.0,,
2,2,32,-1,vmux-emu,1,32,overall,,,,,61019.0,1819.6627280027533
