40441,1
41947,1
42052,1
42173,2
42180,1
42212,1
42240,1
42251,1
42287,1
42298,1
42307,1
42404,1
42405,1
42406,1
42423,1
42427,1
42431,1
42455,1
42456,2
42465,1
42472,1
42474,1
42487,1
42512,1
42515,1
42528,2
42541,2
42547,1
42550,3
42564,1
42566,3
42570,1
42574,2
42575,1
42576,1
42583,1
42584,5
42588,1
42590,3
42591,1
42594,2
42595,1
42597,1
42600,1
42606,2
42608,1
42623,1
42626,1
42631,2
42638,2
42641,2
42645,2
42652,1
42653,2
42654,2
42655,3
42661,1
42670,1
42672,1
42675,3
42687,2
42688,2
42694,2
42695,3
42696,1
42702,2
42703,1
42706,1
42710,1
42714,4
42715,2
42716,2
42717,1
42721,2
42723,2
42724,3
42731,2
42734,1
42736,3
42738,4
42741,1
42742,2
42745,2
42748,1
42749,2
42750,3
42753,2
42757,2
42759,1
42761,1
42763,3
42765,1
42767,2
42774,3
42775,2
42776,2
42785,2
42788,3
42790,1
42792,1
42795,4
42796,2
42797,1
42802,1
42803,1
42805,3
42807,1
42808,2
42810,1
42816,2
42817,1
42819,2
42820,1
42822,2
42823,3
42824,2
42830,1
42832,1
42833,4
42834,1
42836,2
42837,3
42838,2
42839,3
42841,1
42842,2
42843,2
42845,2
42846,3
42847,2
42848,5
42849,1
42850,1
42851,1
42856,1
42857,2
42859,1
42861,2
42863,3
42869,5
42870,1
42871,2
42873,1
42874,2
42875,1
42876,3
42877,1
42878,1
42882,5
42885,3
42888,3
42889,2
42895,2
42897,1
42898,1
42899,2
42902,1
42903,3
42905,1
42908,1
42909,4
42910,4
42912,3
42917,1
42922,4
42923,2
42928,5
42929,1
42932,3
42933,2
42937,3
42938,2
42945,2
42947,2
42948,4
42951,2
42952,3
42954,4
42955,3
42957,1
42958,2
42962,2
42963,4
42965,2
42968,5
42969,4
42971,2
42976,2
42977,3
42978,3
42980,2
42981,2
42983,2
42989,7
42992,2
42993,4
42994,1
42995,3
42996,1
42997,7
42999,2
43000,2
43002,2
43003,1
43004,3
