,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
1,2,32,-1,bridge,0,23,update,172.30775179482444,236.0,268.0,173276.0,,
2,2,32,-1,bridge,0,23,overall,,,,,61012.0,5677.522454599095
0,2,32,-1,bridge,0,24,read,195.8804801839666,262.0,325.0,153941.0,,
1,2,32,-1,bridge,0,24,update,192.67560096232208,260.0,326.0,153379.0,,
2,2,32,-1,bridge,0,24,overall,,,,,61029.0,5035.638794671386
0,2,32,-1,bridge,0,25,read,190.25985945071685,259.0,316.0,159517.0,,
1,2,32,-1,bridge,0,25,update,187.0635807244982,256.0,316.0,158979.0,,
2,2,32,-1,bridge,0,25,overall,,,,,61019.0,5219.620118323801
0,2,32,-1,bridge,0,26,read,183.13744893710742,242.0,291.0,165727.0,,
1,2,32,-1,bridge,0,26,update,180.4552043438212,240.0,286.0,165016.0,,
2,2,32,-1,bridge,0,26,overall,,,,,61020.0,5420.239265814487
0,2,32,-1,bridge,0,27,read,177.68879070778522,252.0,300.0,170207.0,,
1,2,32,-1,bridge,0,27,update,174.9952379833946,249.0,297.0,170306.0,,
2,2,32,-1,bridge,0,27,overall,,,,,61026.0,5579.80205158457
0,2,32,-1,bridge,0,28,read,184.52744635900692,245.0,292.0,163774.0,,
1,2,32,-1,bridge,0,28,update,181.68716870773167,242.0,286.0,164130.0,,
2,2,32,-1,bridge,0,28,overall,,,,,61013.0,5374.330060806713
0,2,32,-1,bridge,0,29,read,178.46904913471965,239.0,288.0,169656.0,,
1,2,32,-1,bridge,0,29,update,175.61451428031242,236.0,287.0,169254.0,,
2,2,32,-1,bridge,0,29,overall,,,,,61009.0,5555.082037076497
0,2,32,-1,bridge,0,30,read,188.1574710069185,242.0,281.0,160728.0,,
1,2,32,-1,bridge,0,30,update,184.37814863819057,239.0,279.0,160228.0,,
2,2,32,-1,bridge,0,30,overall,,,,,61018.0,5260.021632960766
0,2,32,-1,bridge,0,31,read,177.4759388497252,236.0,276.0,169942.0,,
1,2,32,-1,bridge,0,31,update,175.159075574539,234.0,276.0,170441.0,,
2,2,32,-1,bridge,0,31,overall,,,,,61019.0,5578.311673413199
0,2,32,-1,bridge,0,32,read,179.4147004045221,242.0,289.0,168594.0,,
1,2,32,-1,bridge,0,32,update,176.55571505685694,240.0,285.0,168581.0,,
2,2,32,-1,bridge,0,32,overall,,,,,61021.0,5525.556775536291
