,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
1,2,32,-1,vmux-dpdk-e810,0,22,update,132.49489099594152,190.0,246.0,222744.0,,
2,2,32,-1,vmux-dpdk-e810,0,22,overall,,,,,61016.0,7287.760587386915
0,2,32,-1,vmux-dpdk-e810,0,23,read,134.15921272020992,188.0,249.0,223707.0,,
1,2,32,-1,vmux-dpdk-e810,0,23,update,131.93663634500763,185.0,246.0,224482.0,,
2,2,32,-1,vmux-dpdk-e810,0,23,overall,,,,,61016.0,7345.433984528649
0,2,32,-1,vmux-dpdk-e810,0,24,read,133.19633803812116,183.0,235.0,226436.0,,
1,2,32,-1,vmux-dpdk-e810,0,24,update,130.75796572966084,180.0,231.0,225968.0,,
2,2,32,-1,vmux-dpdk-e810,0,24,overall,,,,,61142.0,7399.234568708907
0,2,32,-1,vmux-dpdk-e810,0,25,read,119.6996131674455,163.0,221.0,251013.0,,
1,2,32,-1,vmux-dpdk-e810,0,25,update,117.896235371078,162.0,221.0,250702.0,,
2,2,32,-1,vmux-dpdk-e810,0,25,overall,,,,,61015.0,8222.814062115873
0,2,32,-1,vmux-dpdk-e810,0,26,read,122.03366715866258,164.0,206.0,245937.0,,
1,2,32,-1,vmux-dpdk-e810,0,26,update,120.44346915833034,163.0,207.0,245512.0,,
2,2,32,-1,vmux-dpdk-e810,0,26,overall,,,,,61017.0,8054.296343641936
0,2,32,-1,vmux-dpdk-e810,0,27,read,121.90548078212154,167.0,226.0,246151.0,,
1,2,32,-1,vmux-dpdk-e810,0,27,update,120.54081537038772,167.0,226.0,245459.0,,
2,2,32,-1,vmux-dpdk-e810,0,27,overall,,,,,61027.0,8055.614727907319
0,2,32,-1,vmux-dpdk-e810,0,28,read,119.14441112506388,164.0,222.0,252439.0,,
1,2,32,-1,vmux-dpdk-e810,0,28,update,117.02368753425637,162.0,221.0,251778.0,,
2,2,32,-1,vmux-dpdk-e810,0,28,overall,,,,,61017.0,8263.549502597636
0,2,32,-1,vmux-dpdk-e810,0,29,read,122.51819653653038,167.0,227.0,243975.0,,
1,2,32,-1,vmux-dpdk-e810,0,29,update,120.8500991897804,166.0,227.0,245489.0,,
2,2,32,-1,vmux-dpdk-e810,0,29,overall,,,,,61020.0,8021.370042608981
0,2,32,-1,vmux-dpdk-e810,0,30,read,129.62992170191447,179.0,234.0,231551.0,,
1,2,32,-1,vmux-dpdk-e810,0,30,update,127.73436556542741,178.0,234.0,231860.0,,
2,2,32,-1,vmux-dpdk-e810,0,30,overall,,,,,61017.0,7594.785059901339
0,2,32,-1,vmux-dpdk-e810,0,31,read,123.60533236899204,169.0,231.0,243344.0,,
1,2,32,-1,vmux-dpdk-e810,0,31,update,121.6075455369653,168.0,233.0,242660.0,,
2,2,32,-1,vmux-dpdk-e810,0,31,overall,,,,,61022.0,7964.406279702403
0,2,32,-1,vmux-dpdk-e810,0,32,read,122.95616437233022,167.0,214.0,243934.0,,
1,2,32,-1,vmux-dpdk-e810,0,32,update,121.6381180413239,167.0,217.0,243491.0,,
2,2,32,-1,vmux-dpdk-e810,0,32,overall,,,,,61023.0,7987.562066761713
