,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
1,2,32,-1,vmux-med,0,22,update,135.2803622419095,186.0,247.0,218528.0,,
2,2,32,-1,vmux-med,0,22,overall,,,,,61014.0,7174.287868358082
0,2,32,-1,vmux-med,0,23,read,133.02027263349433,185.0,242.0,225871.0,,
1,2,32,-1,vmux-med,0,23,update,131.16559864047937,184.0,242.0,225962.0,,
2,2,32,-1,vmux-med,0,23,overall,,,,,61022.0,7404.427911245125
0,2,32,-1,vmux-med,0,24,read,142.08123045083605,199.0,263.0,212605.0,,
1,2,32,-1,vmux-med,0,24,update,139.00108812390482,196.0,262.0,212292.0,,
2,2,32,-1,vmux-med,0,24,overall,,,,,61028.0,6962.328767123287
0,2,32,-1,vmux-med,0,25,read,127.15687161896383,171.0,230.0,236429.0,,
1,2,32,-1,vmux-med,0,25,update,124.16415890084137,170.0,231.0,236399.0,,
2,2,32,-1,vmux-med,0,25,overall,,,,,61030.0,7747.468458135343
0,2,32,-1,vmux-med,0,26,read,124.63890195425503,169.0,225.0,240245.0,,
1,2,32,-1,vmux-med,0,26,update,123.38713511755064,169.0,226.0,239769.0,,
2,2,32,-1,vmux-med,0,26,overall,,,,,61029.0,7865.3427059266905
0,2,32,-1,vmux-med,0,27,read,132.18526984859716,182.0,259.0,225293.0,,
1,2,32,-1,vmux-med,0,27,update,132.25069964349376,181.0,259.0,224400.0,,
2,2,32,-1,vmux-med,0,27,overall,,,,,61015.0,7370.204048184873
0,2,32,-1,vmux-med,0,28,read,123.46883016560847,168.0,222.0,242077.0,,
1,2,32,-1,vmux-med,0,28,update,122.03583422031899,167.0,225.0,242394.0,,
2,2,32,-1,vmux-med,0,28,overall,,,,,61021.0,7939.414299995084
0,2,32,-1,vmux-med,0,29,read,127.19484601414602,172.0,234.0,235119.0,,
1,2,32,-1,vmux-med,0,29,update,125.88867333233846,172.0,234.0,234535.0,,
2,2,32,-1,vmux-med,0,29,overall,,,,,61019.0,7696.848522591324
0,2,32,-1,vmux-med,0,30,read,132.74381822331821,183.0,260.0,223439.0,,
1,2,32,-1,vmux-med,0,30,update,132.31350276617465,181.0,262.0,224317.0,,
2,2,32,-1,vmux-med,0,30,overall,,,,,61028.0,7336.89454021105
0,2,32,-1,vmux-med,0,31,read,127.48122001837172,174.0,243.0,235144.0,,
1,2,32,-1,vmux-med,0,31,update,125.45377410327511,173.0,242.0,234771.0,,
2,2,32,-1,vmux-med,0,31,overall,,,,,61019.0,7701.125878824629
0,2,32,-1,vmux-med,0,32,read,122.69489701121765,171.0,229.0,244347.0,,
1,2,32,-1,vmux-med,0,32,update,120.64300687968954,170.0,232.0,243761.0,,
2,2,32,-1,vmux-med,0,32,overall,,,,,61019.0,7999.27891312542
