   repetitions  num_vms     interface     fastclick   rate  repetition  vm_num  rxPackets   txPackets    txMpps  rxMppsCalc
0            3       32  bridge-e1000  software-tap  40000           0       1     545969  1951676593  32.03657    0.008962
0            3       32  bridge-e1000  software-tap  40000           0       2     409159  1951676593  32.03657    0.006716
0            3       32  bridge-e1000  software-tap  40000           0       3     409057  1951676593  32.03657    0.006715
0            3       32  bridge-e1000  software-tap  40000           0       4     409317  1951676593  32.03657    0.006719
0            3       32  bridge-e1000  software-tap  40000           0       5     408725  1951676593  32.03657    0.006709
0            3       32  bridge-e1000  software-tap  40000           0       6     408745  1951676593  32.03657    0.006710
0            3       32  bridge-e1000  software-tap  40000           0       7     409048  1951676593  32.03657    0.006714
0            3       32  bridge-e1000  software-tap  40000           0       8     408611  1951676593  32.03657    0.006707
0            3       32  bridge-e1000  software-tap  40000           0       9     409231  1951676593  32.03657    0.006717
0            3       32  bridge-e1000  software-tap  40000           0      10     408562  1951676593  32.03657    0.006707
0            3       32  bridge-e1000  software-tap  40000           0      11     408581  1951676593  32.03657    0.006707
0            3       32  bridge-e1000  software-tap  40000           0      12     408614  1951676593  32.03657    0.006707
0            3       32  bridge-e1000  software-tap  40000           0      13     408981  1951676593  32.03657    0.006713
0            3       32  bridge-e1000  software-tap  40000           0      14     408931  1951676593  32.03657    0.006713
0            3       32  bridge-e1000  software-tap  40000           0      15     408548  1951676593  32.03657    0.006706
0            3       32  bridge-e1000  software-tap  40000           0      16     408723  1951676593  32.03657    0.006709
0            3       32  bridge-e1000  software-tap  40000           0      17     408658  1951676593  32.03657    0.006708
0            3       32  bridge-e1000  software-tap  40000           0      18     409040  1951676593  32.03657    0.006714
0            3       32  bridge-e1000  software-tap  40000           0      19     408577  1951676593  32.03657    0.006707
0            3       32  bridge-e1000  software-tap  40000           0      20     408758  1951676593  32.03657    0.006710
0            3       32  bridge-e1000  software-tap  40000           0      21     408998  1951676593  32.03657    0.006714
0            3       32  bridge-e1000  software-tap  40000           0      22     408526  1951676593  32.03657    0.006706
0            3       32  bridge-e1000  software-tap  40000           0      23     408745  1951676593  32.03657    0.006710
0            3       32  bridge-e1000  software-tap  40000           0      24     408572  1951676593  32.03657    0.006707
0            3       32  bridge-e1000  software-tap  40000           0      25     408644  1951676593  32.03657    0.006708
0            3       32  bridge-e1000  software-tap  40000           0      26     409428  1951676593  32.03657    0.006721
0            3       32  bridge-e1000  software-tap  40000           0      27     408909  1951676593  32.03657    0.006712
0            3       32  bridge-e1000  software-tap  40000           0      28     408882  1951676593  32.03657    0.006712
0            3       32  bridge-e1000  software-tap  40000           0      29     408812  1951676593  32.03657    0.006711
0            3       32  bridge-e1000  software-tap  40000           0      30     408799  1951676593  32.03657    0.006710
0            3       32  bridge-e1000  software-tap  40000           0      31     408757  1951676593  32.03657    0.006710
0            3       32  bridge-e1000  software-tap  40000           0      32     204483  1951676593  32.03657    0.003357
